Data used for the WHO UNICEF coverage estimates 2024 revision (completed July 2025),,,,,,,,,,,,,
ISO3,surveyNameEnglish,surveyNameProduction,collectBegin,collectEnd,cohortYear,vaccine,evidence,cardsSeen,validity,ageVaccination,ageInterview,coverage,denominator
NGA,"Nigeria Demographic and Health Survey  1999, 2000","Nigeria Demographic and Health Survey  1999, 2000",1999-03,1999-05,1998,DTP1,Record or Recall<12m,,CRUDE,0-12 m,12-23 m,45.7,1161
NGA,"Nigeria Demographic and Health Survey  1999, 2000","Nigeria Demographic and Health Survey  1999, 2000",1999-03,1999-05,1998,DTP1,Record,,CRUDE,0-23 m,12-23 m,16.4,1161
NGA,"Nigeria Demographic and Health Survey  1999, 2000","Nigeria Demographic and Health Survey  1999, 2000",1999-03,1999-05,1998,DTP1,Record or Recall,,CRUDE,0-23 m,12-23 m,47.4,1161
NGA,"Nigeria Demographic and Health Survey  1999, 2000","Nigeria Demographic and Health Survey  1999, 2000",1999-03,1999-05,1998,DTP1,Recall,,CRUDE,0-23 m,12-23 m,31,1161
NGA,"Nigeria Demographic and Health Survey  1999, 2000","Nigeria Demographic and Health Survey  1999, 2000",1999-03,1999-05,1998,DTP3,Record or Recall<12m,,CRUDE,0-12 m,12-23 m,24.8,1161
NGA,"Nigeria Demographic and Health Survey  1999, 2000","Nigeria Demographic and Health Survey  1999, 2000",1999-03,1999-05,1998,DTP3,Record,,CRUDE,0-23 m,12-23 m,10.6,1161
NGA,"Nigeria Demographic and Health Survey  1999, 2000","Nigeria Demographic and Health Survey  1999, 2000",1999-03,1999-05,1998,DTP3,Record or Recall,,CRUDE,0-23 m,12-23 m,26.3,1161
NGA,"Nigeria Demographic and Health Survey  1999, 2000","Nigeria Demographic and Health Survey  1999, 2000",1999-03,1999-05,1998,DTP3,Recall,,CRUDE,0-23 m,12-23 m,15.7,1161
NGA,"Nigeria Demographic and Health Survey  1999, 2000","Nigeria Demographic and Health Survey  1999, 2000",1999-03,1999-05,1998,FULL,Record or Recall<12m,,CRUDE,0-12 m,12-23 m,14.3,1161
NGA,"Nigeria Demographic and Health Survey  1999, 2000","Nigeria Demographic and Health Survey  1999, 2000",1999-03,1999-05,1998,FULL,Record,,CRUDE,0-23 m,12-23 m,7.7,1161
NGA,"Nigeria Demographic and Health Survey  1999, 2000","Nigeria Demographic and Health Survey  1999, 2000",1999-03,1999-05,1998,FULL,Record or Recall,,CRUDE,0-23 m,12-23 m,16.8,1161
NGA,"Nigeria Demographic and Health Survey  1999, 2000","Nigeria Demographic and Health Survey  1999, 2000",1999-03,1999-05,1998,FULL,Recall,,CRUDE,0-23 m,12-23 m,9,1161
NGA,"Nigeria Demographic and Health Survey  1999, 2000","Nigeria Demographic and Health Survey  1999, 2000",1999-03,1999-05,1998,MCV1,Record or Recall<12m,,CRUDE,0-12 m,12-23 m,32.1,1161
NGA,"Nigeria Demographic and Health Survey  1999, 2000","Nigeria Demographic and Health Survey  1999, 2000",1999-03,1999-05,1998,MCV1,Record,,CRUDE,0-23 m,12-23 m,13.1,1161
NGA,"Nigeria Demographic and Health Survey  1999, 2000","Nigeria Demographic and Health Survey  1999, 2000",1999-03,1999-05,1998,MCV1,Record or Recall,,CRUDE,0-23 m,12-23 m,40.5,1161
NGA,"Nigeria Demographic and Health Survey  1999, 2000","Nigeria Demographic and Health Survey  1999, 2000",1999-03,1999-05,1998,MCV1,Recall,,CRUDE,0-23 m,12-23 m,27.4,1161
NGA,"Nigeria Demographic and Health Survey  1999, 2000","Nigeria Demographic and Health Survey  1999, 2000",1999-03,1999-05,1998,POL1,Record or Recall<12m,,CRUDE,0-12 m,12-23 m,54.3,1161
NGA,"Nigeria Demographic and Health Survey  1999, 2000","Nigeria Demographic and Health Survey  1999, 2000",1999-03,1999-05,1998,POL1,Record,,CRUDE,0-23 m,12-23 m,17.5,1161
NGA,"Nigeria Demographic and Health Survey  1999, 2000","Nigeria Demographic and Health Survey  1999, 2000",1999-03,1999-05,1998,POL1,Record or Recall,,CRUDE,0-23 m,12-23 m,56.8,1161
NGA,"Nigeria Demographic and Health Survey  1999, 2000","Nigeria Demographic and Health Survey  1999, 2000",1999-03,1999-05,1998,POL1,Recall,,CRUDE,0-23 m,12-23 m,39.2,1161
NGA,"Nigeria Demographic and Health Survey  1999, 2000","Nigeria Demographic and Health Survey  1999, 2000",1999-03,1999-05,1998,POL3,Record or Recall<12m,,CRUDE,0-12 m,12-23 m,23,1161
NGA,"Nigeria Demographic and Health Survey  1999, 2000","Nigeria Demographic and Health Survey  1999, 2000",1999-03,1999-05,1998,POL3,Record,,CRUDE,0-23 m,12-23 m,10,1161
NGA,"Nigeria Demographic and Health Survey  1999, 2000","Nigeria Demographic and Health Survey  1999, 2000",1999-03,1999-05,1998,POL3,Record or Recall,,CRUDE,0-23 m,12-23 m,24.8,1161
NGA,"Nigeria Demographic and Health Survey  1999, 2000","Nigeria Demographic and Health Survey  1999, 2000",1999-03,1999-05,1998,POL3,Recall,,CRUDE,0-23 m,12-23 m,14.8,1161
NGA,"Nigeria Demographic and Health Survey  1999, 2000","Nigeria Demographic and Health Survey  1999, 2000",1999-03,1999-05,1998,TT2+,Record or Recall,,CRUDE,,CBAW,44.3,3547
NGA,Nigeria Demographic and Health Survey 2003,Nigeria Demographic and Health Survey 2003,2003-03,2003-08,2002,BCG,Record or Recall<12m,21.3,CRUDE,0-12 m,12-23 m,46.9,999
NGA,Nigeria Demographic and Health Survey 2003,Nigeria Demographic and Health Survey 2003,2003-03,2003-08,2002,BCG,Record,21.3,CRUDE,0-23 m,12-23 m,20.2,999
NGA,Nigeria Demographic and Health Survey 2003,Nigeria Demographic and Health Survey 2003,2003-03,2003-08,2002,BCG,Record or Recall,21.3,CRUDE,0-23 m,12-23 m,48.3,999
NGA,Nigeria Demographic and Health Survey 2003,Nigeria Demographic and Health Survey 2003,2003-03,2003-08,2002,BCG,Recall,21.3,CRUDE,0-23 m,12-23 m,28.1,999
NGA,Nigeria Demographic and Health Survey 2003,Nigeria Demographic and Health Survey 2003,2003-03,2003-08,2002,DTP1,Record or Recall<12m,21.3,CRUDE,0-12 m,12-23 m,38.7,999
NGA,Nigeria Demographic and Health Survey 2003,Nigeria Demographic and Health Survey 2003,2003-03,2003-08,2002,DTP1,Record,21.3,CRUDE,0-23 m,12-23 m,18,999
NGA,Nigeria Demographic and Health Survey 2003,Nigeria Demographic and Health Survey 2003,2003-03,2003-08,2002,DTP1,Record or Recall,21.3,CRUDE,0-23 m,12-23 m,42.6,999
NGA,Nigeria Demographic and Health Survey 2003,Nigeria Demographic and Health Survey 2003,2003-03,2003-08,2002,DTP1,Recall,21.3,CRUDE,0-23 m,12-23 m,24.6,999
